Member ID,Signup Date,Last Login Date,Refunds,Total Amount,Credit Amount,First Order Date,Last Order Date
289599,1/1/2015,5/29/2023,2,-2079.23,NULL,3/28/2019,4/3/2019
289620,1/1/2015,4/17/2023,1,-165.19,NULL,1/21/2019,1/21/2019
289680,1/1/2015,5/6/2023,1,-202.68,-30,5/9/2023,5/9/2023
289706,1/1/2015,3/10/2023,1,-374.53,NULL,3/10/2023,3/10/2023
289742,1/1/2015,3/24/2020,1,-66.92,NULL,7/4/2017,7/4/2017
289786,1/1/2015,5/15/2023,1,-1040.29,NULL,10/24/2022,10/24/2022
289828,1/1/2015,2/20/2023,1,-48.95,NULL,2/2/2016,2/2/2016
289844,1/1/2015,9/25/2022,1,-1287.24,NULL,3/2/2018,3/2/2018
289866,1/1/2015,6/1/2023,2,-425.32,NULL,4/30/2019,11/12/2019
289878,1/1/2015,2/17/2023,1,-215.17,NULL,1/17/2015,1/17/2015
289912,1/1/2015,5/9/2023,2,-722.33,NULL,2/22/2015,6/20/2017
289913,1/1/2015,5/29/2023,1,-355.55,-15,7/26/2022,7/26/2022
289929,1/1/2015,4/21/2022,2,-548.42,NULL,7/1/2016,10/4/2018
289955,1/1/2015,5/4/2023,1,-92.84,NULL,3/2/2020,3/2/2020
290016,1/1/2015,4/11/2023,5,-1265.97,NULL,2/27/2021,10/18/2022
290026,1/1/2015,4/20/2023,2,-6519.31,NULL,11/8/2019,11/16/2019
290040,1/1/2015,2/4/2022,1,-369.74,-20,1/28/2022,1/28/2022
290064,1/1/2015,11/28/2019,2,-231.86,NULL,2/3/2015,10/30/2016
290075,1/2/2015,4/21/2023,1,-202.86,NULL,4/21/2023,4/21/2023
290077,1/2/2015,5/25/2023,5,-3017.59,NULL,8/5/2016,11/17/2021
290081,1/2/2015,4/25/2023,1,-87.74,NULL,3/18/2017,3/18/2017
290098,1/2/2015,5/30/2023,2,-325.96,NULL,4/4/2020,4/4/2020
290112,1/2/2015,5/25/2023,1,-155.64,NULL,2/19/2017,2/19/2017
290167,1/2/2015,9/23/2022,1,-799.91,NULL,11/8/2019,11/8/2019
